,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,전체-평일,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
1013702,"1160001601,1160001601,1160001605,1160001606,1160001603,1160001607,1160001608",일반국도,경인로,서울특별시 구로구,0.8210,6,35,33,31,31,33,40,29,14,6,14,25,27,28,29,29,29,30,32,33,34,33,33,31,33
1013703,"1160001507,1160001508,1160001503,1160001505,1160001506,1160001501,1160001501",일반국도,경인로,서울특별시 구로구,0.8210,6,35,28,22,22,32,35,36,29,26,25,22,20,21,21,18,15,13,13,15,19,21,24,24,31
1013704,"1160001302,1160001301,1160001301,1160001301,1160001301,1160001301,1160001301,1160001301,1160001301",일반국도,경인로,서울특별시 구로구,0.6340,6,30,31,31,32,39,41,30,25,20,24,25,25,26,26,24,22,21,18,14,15,22,28,32,28
1013705,1160000501,일반국도,경인로,서울특별시 구로구,0.0190,6,34,35,36,35,40,41,35,36,35,36,36,36,37,36,37,36,36,35,33,35,36,38,39,35
1013706,1160000601,일반국도,경인로,서울특별시 구로구,0.0190,6,41,41,43,42,38,39,38,34,33,35,34,36,36,35,36,36,35,34,34,35,34,37,37,38
1013707,"1160036601,1160036601,1160030700,1160030700,1160027800,1160025400,1160023500,1160022700,1160022700,2130038000,2130033700",특별광역시도,개봉로,서울특별시 구로구,1.4410,6,28,29,30,29,26,29,22,19,15,16,16,16,18,18,17,17,16,16,17,19,20,21,22,27
1013709,"1160051300,1160051300",특별광역시도,남부순환로,서울특별시 구로구,0.3170,1,42,44,44,46,40,43,38,34,32,36,37,38,38,38,38,38,38,38,39,39,38,38,41,41
1013710,1160056200,특별광역시도,남부순환로,서울특별시 구로구,0.0470,1,38,39,39,37,37,38,35,36,36,33,31,32,32,32,31,32,32,34,34,34,34,35,36,37
1013711,"1160014202,1160014202,1160014202,1160014202,1160014203,1160014203,1160014204,1160014204,1160014205,1160014205,1160014205,1160014205,1160014205",특별광역시도,중앙로,서울특별시 구로구,0.7510,6,26,27,27,27,25,26,25,27,26,26,24,24,24,24,24,24,24,24,24,24,25,24,26,25
1013712,"1160014104,1160014104,1160014104,1160014104,1160014104,1160014103,1160014103,1160014102,1160014102,1160014101,1160014101,1160014101,1160014101",특별광역시도,중앙로,서울특별시 구로구,0.7510,6,26,26,27,27,25,25,25,17,14,16,19,19,19,19,19,19,19,19,19,20,20,20,20,25
1013721,1160041900,연결로,서부간선도로,서울특별시 구로구,0.0340,1,37,37,37,37,36,37,37,35,36,36,36,36,36,36,35,35,33,29,28,32,35,34,35,36
1013722,1160055600,일반국도,서부간선도로,서울특별시 구로구,0.5630,2,80,81,82,82,73,80,68,52,70,66,58,57,60,57,53,51,40,30,38,44,56,61,68,73
1013723,1160002603,일반국도,서부간선도로,서울특별시 구로구,0.4860,2,76,79,80,80,67,76,57,34,62,55,48,48,52,48,45,41,33,27,32,39,50,55,63,69
1013724,1160055700,일반국도,서부간선도로,서울특별시 구로구,0.6540,2,82,84,85,85,72,79,68,56,37,54,62,66,67,65,64,63,60,54,57,64,65,65,66,72
1013727,1160001901,일반국도,경인로,서울특별시 구로구,0.0250,10,43,43,43,42,40,44,36,31,26,26,27,33,35,35,35,36,36,36,38,39,38,37,37,40
1013728,1160002001,일반국도,경인로,서울특별시 구로구,0.0250,10,43,43,44,44,36,43,37,33,34,32,29,28,29,27,25,21,19,17,18,20,25,28,29,36
1013729,"1160001901,1160001901,1160001901",일반국도,경인로,서울특별시 구로구,0.2260,10,38,40,41,41,35,38,28,22,18,19,21,25,27,27,27,28,29,25,28,30,32,32,32,34
1013730,"1160002001,1160002001,1160002001",일반국도,경인로,서울특별시 구로구,0.2260,10,45,45,46,46,34,45,33,35,37,34,30,29,31,29,27,22,17,14,14,20,31,35,36,40
1013731,"1160015801,1160015801",특별광역시도,안양천로,서울특별시 구로구,0.2870,1,44,44,47,45,45,44,42,37,36,39,40,41,41,41,40,40,38,36,35,38,39,40,40,42
1013772,1160051100,특별광역시도,경인로,서울특별시 구로구,0.0520,1,38,38,38,39,36,39,34,32,30,32,32,35,36,33,34,34,33,33,34,35,36,35,37,37
1013773,1160055800,특별광역시도,경인로,서울특별시 구로구,0.0510,1,36,37,37,37,35,36,35,34,34,33,33,32,33,32,32,31,31,32,30,30,32,33,33,34
1013776,"1160040200,1160040200,1160036602",특별광역시도,개봉로19길,서울특별시 구로구,0.1840,1,27,27,27,28,26,27,22,21,20,17,18,19,19,19,19,18,19,20,20,20,22,23,23,26
1013781,0,연결로,서부간선도로,서울특별시 구로구,0.0320,1,57,59,61,61,15,57,9,8,9,9,9,10,9,8,9,8,9,9,7,11,9,11,17,48
1013793,"1160000304,1160000304,1160000304,1160000305,1160000305,1160000302,1160000302,1160000302,1160000301,1160000301,1160000301,1160000100,2420191300,2420187700,2420187700,2420185200,2420185200",일반국도,경인로,서울특별시 구로구,1.3580,6,41,43,43,43,42,44,39,38,34,36,37,37,37,37,37,36,34,33,32,34,36,37,38,40
1013794,1160001202,일반국도,서부간선도로,서울특별시 구로구,0.2580,2,77,79,79,79,71,77,67,60,63,64,61,61,62,60,57,56,45,32,36,44,58,62,68,72
1013795,1160049100,특별광역시도,안양천로,서울특별시 구로구,0.0370,6,67,66,67,67,63,66,57,47,47,50,54,55,56,56,55,55,54,51,51,57,60,61,63,63
1013796,1160049000,특별광역시도,안양천로,서울특별시 구로구,0.0370,6,76,75,75,73,74,72,67,44,40,54,53,59,63,59,55,52,45,38,40,51,62,67,71,74
1013797,1160061600,특별광역시도,안양천로,서울특별시 구로구,0.5190,4,77,77,77,76,75,73,68,44,42,54,52,59,63,59,55,51,43,33,36,49,62,68,72,75
1013798,1160061700,특별광역시도,안양천로,서울특별시 구로구,0.5190,4,75,74,75,73,70,73,61,49,49,52,57,58,60,60,58,58,56,52,53,60,64,67,69,71
1013820,"1160036400,1160036400",특별광역시도,경인로,서울특별시 구로구,0.1330,2,24,26,27,28,22,25,27,24,21,23,23,24,25,24,24,23,22,23,23,24,23,24,25,24
1013888,1160054300,특별광역시도,경인로,서울특별시 구로구,0.1010,1,38,38,41,42,37,40,36,33,29,32,32,32,32,31,30,30,30,29,25,26,30,30,32,35
1013909,1160007507,특별광역시도,경인로,서울특별시 구로구,0.1360,1,34,35,36,35,29,32,24,18,14,17,20,23,27,27,26,23,20,18,16,26,30,29,30,32
1013917,1160002401,일반국도,경인로,서울특별시 구로구,0.0350,8,35,34,31,30,35,33,35,28,23,25,27,31,35,33,33,33,33,32,32,32,34,34,34,35
1013918,1160002302,일반국도,경인로,서울특별시 구로구,0.0350,8,37,35,33,34,37,37,37,34,31,33,32,31,33,31,30,28,25,22,21,24,33,35,35,36
1013919,1160002001,일반국도,경인로,서울특별시 구로구,0.0190,10,39,37,36,35,36,37,34,34,34,33,31,31,32,31,30,28,26,22,22,24,31,32,33,34
1013920,1160001901,일반국도,경인로,서울특별시 구로구,0.0190,10,25,25,22,22,28,23,27,24,20,22,23,25,27,27,27,27,27,27,26,26,26,26,25,25
1013921,1160001103,연결로,서부간선도로,서울특별시 구로구,0.0280,1,23,24,24,24,22,22,23,21,18,22,23,23,23,23,23,23,24,24,24,24,23,23,22,22
1013924,"2130037300,2130037300,2130037300,2130037300",특별광역시도,가마산로,서울특별시 금천구,0.1770,6,30,30,30,30,20,29,20,26,32,30,23,21,22,25,24,23,23,24,25,25,27,25,25,27
1013939,1160001103,연결로,서부간선도로,서울특별시 구로구,0.0330,1,32,34,34,34,31,33,29,25,21,23,25,25,25,24,25,24,25,22,21,24,24,24,26,29
1013940,1160001103,연결로,서부간선도로,서울특별시 구로구,0.0130,1,30,32,31,30,27,27,28,24,20,25,29,30,30,30,30,30,29,29,29,31,29,29,27,29
1013946,2130048800,일반국도,서부간선도로,서울특별시 구로구,0.7920,2,81,83,84,83,60,76,50,29,35,32,34,45,53,50,48,46,35,25,32,55,65,64,66,72
1013947,1160038500,연결로,서부간선도로,서울특별시 구로구,0.4000,1,54,54,55,54,52,53,47,29,16,28,43,48,49,48,47,47,47,46,45,47,47,48,49,51
1013948,"1160035000,1160033100",특별광역시도,구일로,서울특별시 구로구,0.1130,3,42,54,43,54,48,55,42,29,32,37,34,36,48,37,31,35,37,36,32,34,37,38,38,43
1013949,"1160034300,1160034300",특별광역시도,구일로,서울특별시 구로구,0.1130,3,36,37,38,38,32,37,31,26,24,26,28,29,29,28,28,28,27,25,25,27,29,29,31,32
1013950,"1160015701,1160015701,1160015701",특별광역시도,안양천로537길,서울특별시 구로구,0.4810,1,38,39,39,38,37,39,36,32,29,30,27,27,29,27,24,18,13,11,9,13,25,30,33,36
1013957,1160061600,특별광역시도,안양천로,서울특별시 구로구,0.1930,5,71,72,72,69,68,67,53,32,31,37,36,44,49,42,40,36,30,22,23,32,51,56,64,68
