LINK ID,CO2_Hour_0,CO2_Hour_1,CO2_Hour_2,CO2_Hour_3,CO2_Hour_4,CO2_Hour_5,CO2_Hour_6,CO2_Hour_7,CO2_Hour_8,CO2_Hour_9,CO2_Hour_10,CO2_Hour_11,CO2_Hour_12,CO2_Hour_13,CO2_Hour_14,CO2_Hour_15,CO2_Hour_16,CO2_Hour_17,CO2_Hour_18,CO2_Hour_19,CO2_Hour_20,CO2_Hour_21,CO2_Hour_22,CO2_Hour_23
1013679,21645.42256,17230.06087,13550.59279,11672.79529,18524.21861,39865.13347,46234.41959,51411.05054,57298.19947,49609.37996,49431.75047,47858.46067,49482.50176,50446.77615,50294.5223,54024.74166,52146.94416,49431.75047,45117.89134,50116.8928,51284.17233,49101.86713,46209.04395,32100.18704
1013680,10244.1005,8056.977004,6513.125123,6834.760932,13524.78575,24878.52979,39416.46834,39866.75847,36634.31859,34431.11331,30072.9481,29542.24902,29719.14871,30362.42033,29108.04067,28127.05146,30040.78452,30651.89256,31295.16417,27322.96194,23768.88625,23624.15014,21324.45411,14409.28422
1013681,1596.4467,793.3262741,950.0326987,979.4151533,724.7672134,1733.564821,2497.508641,3085.157733,3682.600976,2311.419762,2311.419762,2321.213913,2252.654852,2154.713337,2213.478246,2046.97767,2644.420914,2820.715641,3878.484007,2595.450156,2037.183519,2282.037307,1645.417457,1557.270094
1013682,12910.36231,12709.53445,7488.010141,6283.042992,8994.219078,19136.02592,21230.37358,25892.44886,23568.58364,25777.69008,25720.3107,27613.8305,26997.00208,26365.82881,24931.34411,25246.93075,27771.62382,28603.62495,28962.24612,30784.04169,30152.86842,27111.76086,23439.48002,17056.0231
1013683,7533.699301,5229.915892,4247.259461,4203.585842,8832.98947,16137.40227,27448.86963,28431.52606,26488.05001,24140.59298,20231.80407,19773.23106,19718.63904,20570.27461,19303.73966,18888.84028,20504.76418,20417.41695,21007.0108,18353.83844,16060.97344,15809.85013,14073.82377,9739.217068
1013684,1472.724196,1222.260898,1142.112642,781.4454919,1472.724196,3336.171139,5850.822658,7523.917493,11200.71872,9447.475627,7163.250343,5109.451293,3937.283056,5870.859721,5420.025784,5149.525421,6652.305213,6852.675852,5319.840464,3987.375715,2664.929498,3256.022883,2524.670051,2554.725647
1013685,1443.816776,1633.169795,2343.24362,1396.478521,1940.868453,4142.097307,3574.038248,3929.07516,5136.200661,3455.692611,4591.810729,4733.825494,4804.832877,4686.487239,4662.818112,4402.45771,4071.089925,4804.832877,7645.128173,5822.605358,4000.082543,3574.038248,3621.376503,2982.310061
1013686,3721.168157,2232.700894,2381.54762,2020.062714,2679.241073,6038.924323,13693.89882,16203.02934,24006.85056,19817.87841,15012.25553,10121.57739,9419.87139,12077.84865,10504.32611,10376.7432,12162.90392,14842.14499,11078.4492,7080.851406,5443.537418,6527.992137,4465.401788,5401.009781
1013687,1710.80165,1323.450333,1205.092986,860.7807044,1624.72358,4422.260869,6843.2066,8188.176451,12126.24817,10114.17328,7607.149475,4777.33291,4368.462075,6133.062519,4971.008568,4895.690256,7176.759123,7058.401776,5541.275785,4648.215804,3400.083782,3873.51317,2883.61536,2765.258013
1013688,5536.648967,3623.011072,2762.949096,2300.665784,4698.088541,10105.72821,11170.05491,12664.41259,11675.34132,10987.29174,12556.90484,12094.62153,11825.85216,11729.09519,11922.60913,11600.08589,11664.59054,13255.7052,13287.95752,16233.66979,13008.43738,9019.899968,7665.302356,5977.430729
1013689,3948.416013,3324.981906,2415.807166,2043.478463,2632.277342,5169.307807,8927.230065,10728.26193,10260.68635,10823.50881,11031.32018,10607.03863,10667.65028,10269.34516,10433.86249,10433.86249,10338.61561,10096.16902,10494.47414,10485.81533,9845.063612,8788.689152,8442.33687,6346.905565
1013690,15537.67569,12886.56831,8636.597216,6914.743974,9743.502872,18899.38916,25759.47113,29913.78371,33439.48321,28779.54705,31457.98543,30118.76624,28998.19508,26196.76719,29818.1252,30556.0623,27795.63091,28369.58199,29011.86058,31198.34089,30569.7278,28834.20906,25363.17157,17163.87042
1013691,7421.615289,5027.883034,3993.038085,3794.431479,8425.1013,15574.93913,26425.13162,27480.88253,25484.36349,23905.96362,19756.13084,19609.78913,19965.19043,21177.73602,19369.37061,18731.73887,20362.40364,20341.49768,19996.54936,17665.53498,15595.84509,15491.31529,13452.98433,10003.50117
1013692,2890.406237,4433.258214,2236.158879,2392.397054,2968.525324,3613.007796,4443.0231,4071.957435,3925.484146,3993.838347,4755.49945,5360.922378,5087.505572,5458.571238,5653.868956,5819.872017,5497.630781,5556.220097,6991.658329,6718.241523,5937.050648,5673.398728,5585.514755,4794.558994
1013694,11055.8355,11999.30223,7747.057808,6644.131911,9115.748982,19068.65858,23560.09176,28423.59632,30004.89971,26895.44598,28104.67798,26696.12202,26284.18584,25181.25994,24742.74724,25872.24966,26231.03279,26377.20369,26297.4741,25991.84404,25367.29564,25765.94355,25154.68342,15919.34006
1013695,3476.83378,3759.21622,2770.877683,2347.304024,3688.62061,3829.811829,6918.369756,6212.413659,11736.52012,7641.974756,6971.316463,6441.84939,6353.604878,8100.84622,6494.796098,8595.015488,8947.993537,9901.034268,11365.89317,8983.291341,7483.134634,6971.316463,7200.752195,5894.733415
1013696,40810.52486,30297.37878,24308.87785,21647.32188,37128.70577,68889.94033,79136.93081,76431.01558,102203.7492,89428.28056,84504.40202,86766.72459,92089.83653,91956.75873,91601.8846,94440.87763,92222.91433,86323.13193,74834.08199,80645.14586,81266.17559,74789.72273,68889.94033,57001.657
1013697,80814.61316,70105.57289,53766.00629,56305.26326,107863.22,199055.666,264965.9448,284507.1832,274791.7652,249620.0005,225110.6506,231403.5918,229968.3596,234605.2636,224117.0283,233390.8364,240566.9974,254256.9045,266953.1894,229747.5546,193425.1397,191217.0901,177637.5855,127294.056
1013698,41786.51139,36523.32484,25598.22549,22807.14171,26953.89475,59091.23081,85088.18255,104306.788,105582.712,110766.1533,111404.1153,109809.2103,110845.8985,110606.6628,113477.4918,109330.7388,113477.4918,113477.4918,111164.8795,111483.8606,102233.4115,104625.769,86364.10656,69218.87765
1013699,82780.63574,61614.30857,38418.33358,33489.18889,72052.49731,138161.026,169330.6174,156427.8563,124388.4159,160197.2023,171650.2149,160922.0765,162371.8249,167445.9445,161357.001,159617.3029,163531.6237,172665.0388,176724.3345,175419.5609,173244.9382,140770.5732,113805.2523,92204.00058
1013700,21943.50417,16680.63122,12042.16692,11239.35579,18018.64976,28901.20061,47811.86274,69666.16567,66187.31744,59051.21853,44422.21575,41567.77619,48347.07016,45046.62441,44065.41081,43173.39844,47901.06397,47455.05779,48436.27139,40051.35517,40497.36135,39872.95269,34164.07356,37910.52549
1013701,34109.65729,22264.04409,20123.27062,20123.27062,41959.16002,76639.69024,91054.23161,104755.1818,95050.34208,116029.9221,112176.5298,105183.3365,110892.0658,112604.6845,111034.784,116743.5132,117885.2591,113032.8392,111462.9387,104897.9,85488.22058,70502.80629,55517.392,49808.66274
1013702,116016.6197,76846.48775,53941.91905,52282.16769,96929.47915,217427.4276,286141.1337,232531.1649,213609.9994,228547.7616,272199.2223,268713.7444,273195.0731,268713.7444,276016.6504,258091.3358,254771.8331,246639.0514,230041.5379,205311.2427,199170.1626,204481.367,143402.5171,126639.0284
1013703,129652.6041,121754.0057,94205.23539,76674.19976,79371.28217,147376.2885,235416.7641,288780.4659,290706.9534,314017.4513,308237.989,309201.2327,309393.8815,308045.3403,301109.9855,292248.1433,298990.8493,290899.6021,293596.6845,303421.7704,289358.4122,282423.0574,260846.3982,188795.7683
