LINK ID,Final_CO2_Hour_0,Final_CO2_Hour_1,Final_CO2_Hour_2,Final_CO2_Hour_3,Final_CO2_Hour_4,Final_CO2_Hour_5,Final_CO2_Hour_6,Final_CO2_Hour_7,Final_CO2_Hour_8,Final_CO2_Hour_9,Final_CO2_Hour_10,Final_CO2_Hour_11,Final_CO2_Hour_12,Final_CO2_Hour_13,Final_CO2_Hour_14,Final_CO2_Hour_15,Final_CO2_Hour_16,Final_CO2_Hour_17,Final_CO2_Hour_18,Final_CO2_Hour_19,Final_CO2_Hour_20,Final_CO2_Hour_21,Final_CO2_Hour_22,Final_CO2_Hour_23
1013669,18510.03771482718,18059.901668148996,7699.739972230486,6303.1885283048505,21450.61342226951,35230.11061836903,44356.65652735007,44441.178221564725,52021.83684142486,46146.70765705011,46283.614439415935,41688.96248143134,43045.49863009505,39949.18660768272,41544.33770241879,40005.862742150595,39463.319949514516,47025.820627481495,42884.32576565318,44513.02465946699,35067.18789084131,29964.006890902405,24787.742086430022,20398.689640340977
1013670,19604.27092632757,25754.671780748686,11953.545717587946,9374.376742773109,14077.19088172617,26499.77416655627,38603.21910210031,48357.792984300635,44422.46226983362,46526.4890929072,47614.3599529281,46266.33910334219,46936.100951652355,45939.11532898197,46838.25136490253,45300.430080533595,46803.052051193896,46282.402201521414,47818.89120215338,51116.61081914956,46331.870462741936,43211.949023716734,38269.557916961756,31697.68054306011
1013671,3584.9902486048704,3586.3048091494893,1128.8470341271136,3864.4022415484314,4352.244792916975,5979.703116861017,9922.917863141327,9368.886879444526,9115.634346174196,8870.357536506068,8548.814684115929,8376.42879937333,9656.931520162147,7201.4523555131655,7069.12323385235,11105.185316005076,6811.810868186918,7680.004622734887,6712.9250895460045,6503.070233271172,7425.314252501779,7449.385364496387,3727.431184542213,3377.846460297749
1013672,17528.091494904085,21122.56822440774,10510.821335105813,8168.272208793247,11528.266054060874,22214.82693904533,31918.901573472114,37474.10397108164,36566.912336689194,37316.65640536036,38022.469231671595,38137.69661391765,38681.338822394726,38038.92140402535,36125.977237234416,36946.84735780921,35817.752399334124,36543.95658734858,37335.891196030156,43096.7031417523,38559.64768568628,35502.36887460248,31229.25225767285,26462.673634615297
1013673,9644.9143587465,6670.124776116628,3916.658429120483,3471.6603036436636,8854.7416078173,17919.54316257508,23675.014513457376,24030.207428952817,27826.16402671516,24829.14488072084,25226.22871643216,22650.515687370207,22905.954721499806,21849.138423346543,21426.341837066255,20986.527582397237,22611.175792559243,24349.632689114267,22853.930687306263,25878.441476685464,18431.558627120525,16562.151961295083,14240.439934565298,11069.058878305901
1013674,3162.6834639508947,2361.2200707532807,1961.2789444617515,1366.7239032751645,2165.93724972668,4857.354322484164,9429.931798549786,7756.309541069891,7644.712890375045,7490.642392971758,7383.093281611871,7478.875451843229,8371.433273153036,6223.287171589377,6869.43742678186,9207.180642350344,5897.364469861424,6715.6591909084245,5767.439733774478,5825.737502188051,6693.048331723778,6349.286896002184,3430.628982520052,3498.8202899177472
1013675,1593.6893545490966,1573.3036211155109,1315.7215308697378,1168.2971816582635,1779.8421142319062,1952.3617539812726,3103.0471597488663,4053.156065303804,4419.522237880551,4983.330388577519,3963.6751307552413,3735.9343024793566,3817.5072113646,4240.260415685852,3855.127947057883,4178.432925689961,4300.242892723201,4646.7100053437935,5030.220593577391,3866.8003761596797,4253.705923236815,3658.770997600847,3431.6931299840626,2823.6717081938828
1013676,973.5898838986016,578.472959891832,352.2245497972822,583.3696118676809,1041.4520727397557,1282.3785827175948,3626.3324197682123,4342.176996658342,4275.418570364377,4405.3949864158,3913.6081035354277,3704.262127428128,3896.162192779376,3537.9372284590563,3578.6220775741667,3582.9584437716294,3634.752699270984,3545.108233476315,3167.85199406566,2757.894649227692,1803.5384743741304,1648.737755629364,1337.803406697701,1238.9877977114272
1013677,13402.4287948635,16171.804163335019,10188.070473409321,9874.207986052043,11868.516882260024,13884.264160108498,18151.761087393912,21699.227499211553,20894.922177161294,19737.70968704548,21752.556510756895,22970.8298188755,24242.75483702247,24974.392091685895,25447.781081630234,26405.19821545387,21529.06184268953,26713.383841422066,28050.176458809638,27218.59530977085,28099.69868911717,24017.39059899221,22202.66234024437,19040.663914509696
1013678,8817.25819319319,5722.822114029819,5595.4446827828215,5180.272816665986,9104.302927461218,15669.869166606639,19641.802997734238,20364.01092879525,19766.751968167213,24316.792809352803,23648.574660364226,26185.806472625878,24699.4711001275,27070.212019305993,27784.570923760955,27501.357674577044,26881.50503830077,22829.63570387861,19690.372214014646,20388.188210300876,19078.55466078224,16534.22899736688,13436.42322549933,10501.378713414872
