LINK ID,Final_Congestion_Hour_0,Final_Congestion_Hour_1,Final_Congestion_Hour_2,Final_Congestion_Hour_3,Final_Congestion_Hour_4,Final_Congestion_Hour_5,Final_Congestion_Hour_6,Final_Congestion_Hour_7,Final_Congestion_Hour_8,Final_Congestion_Hour_9,Final_Congestion_Hour_10,Final_Congestion_Hour_11,Final_Congestion_Hour_12,Final_Congestion_Hour_13,Final_Congestion_Hour_14,Final_Congestion_Hour_15,Final_Congestion_Hour_16,Final_Congestion_Hour_17,Final_Congestion_Hour_18,Final_Congestion_Hour_19,Final_Congestion_Hour_20,Final_Congestion_Hour_21,Final_Congestion_Hour_22,Final_Congestion_Hour_23
1017918,0.12189309117651916,0.14220860637260568,0.20315515196086525,0.0,0.34536375833347094,0.0,0.4875723647060766,2.966065218628633,4.997616738237285,3.39269103774645,3.1082738250012385,2.8238566122560274,2.7629100666677675,3.616161704903402,3.006696249020806,2.8848031578442868,3.169220370589498,2.3362842475499503,2.2956532171577777,3.697423765687748,1.4424015789221434,2.1737601259812585,0.42662581911781705,3.006696249020806
1017919,1.1497772103039043,1.3081648872335239,0.7802059641347922,0.7626073333648344,1.085248897480726,1.9769128564919172,2.786449871909972,3.091492805255906,3.525592364248196,3.818902877080825,2.903774077043024,3.173619748849042,2.9624361796095493,3.267479112955483,3.6018530975846796,3.2440142719288727,2.8216471334498876,3.2146832206456097,4.094614759143496,2.710189138573489,1.8654548616155182,1.9769128564919172,1.9827790667485696,1.3316297282601341
1017920,4.30898462468876,2.9176498302109435,2.761903397993277,1.5055488447707714,2.4919429154826562,4.423198674981715,8.784098777076363,11.338340265446085,12.96848625599099,12.002858376241461,12.906187683103925,12.480480768375637,11.026847401010754,12.74005815540508,13.653770557748722,14.743995583272383,16.114564186787845,15.481195362436003,15.58502631724778,13.591471984861654,10.704971441094244,10.923016446198977,8.38954114879161,7.288933027786769
1017921,1.4953354543667476,0.8916285939081228,0.9937943702934285,0.7058726368439305,1.6346524221648917,1.7368181985501974,5.229030191357012,8.526198429246424,10.430196989154394,8.999876119760113,7.6438576331915105,7.411662686861271,6.148522178824763,7.439526080420899,7.402374889008061,6.835819219962275,6.5943364757788245,8.098959727998782,8.321866876475813,4.625323330898387,3.659392354164587,2.9628075151738664,3.0278221001463335,2.4612664311005474
1017922,2.195734152116788,1.6090876229252797,1.4582356582760347,0.8548277996790549,1.3353192426359093,2.5197865206225734,4.855198417784958,6.062014134978918,6.95595170327074,6.520157138728477,6.933603264063445,6.369305174079232,6.190517660420868,7.101216558118161,7.587295110876839,8.112483432248284,8.71030418104344,8.112483432248284,8.682368632034322,7.665514648102374,5.9335106095369685,5.9726203781497365,4.464100731657286,3.575750273167288
1017924,1.1667152481239047,1.1468224050186377,0.9797225229343957,0.9439154053449152,1.339782983139727,1.7306773501582218,2.1902020258898878,2.151410981834617,2.0350378496688055,2.1146092220898733,2.043989629066176,2.0280753545819623,2.0290699967372254,2.036032491824069,2.016139648718802,1.944525413539841,1.7137684335187449,1.4969364436713355,1.3905097330581575,1.506882865223969,1.656079188513471,1.7038220119661114,1.6739827473082112,1.3527133311581503
1017926,0.03271285239164848,0.029490546206497915,0.02369039507322691,0.022272580351760662,0.033743990370896655,0.06826133422622944,0.08736316529180195,0.08192391245126782,0.07846960022078642,0.08811074032675689,0.08517199708589958,0.08602268591877932,0.09411711905587752,0.0899410102399224,0.08568756607552366,0.08965744729562915,0.07950073820003459,0.08277460128414756,0.07498950954082381,0.0813052296637189,0.08344484097065888,0.08264570903674154,0.0807123253256512,0.055475223283552026
1017927,0.3081332850952166,0.2718823103781323,0.3927188927684133,0.20844310462323476,0.7733541272977985,1.4077461848467738,3.53447003491572,4.159799348785424,4.516267266836754,4.785128662655128,3.745934054098712,3.425717110764467,2.338187869251938,2.688613958183753,3.042060961675325,3.6130138134694025,4.356158795169631,4.8395051247307554,4.5132463522769966,2.6584048125861823,1.4530599032431293,0.9787763173612762,1.1056547288710714,0.7129358361026581
1017928,1.404093603127125,1.4977990024883632,0.9653143521498984,0.8790458892459013,1.4264044124988482,2.739767390847631,4.716505101182323,4.407128544561092,4.447288001430194,4.5395060134999845,4.029332172533243,3.95645019525228,4.166171803346479,4.337221341863025,4.051642981904966,3.9415763223377978,3.9936348775384856,3.984710553789796,3.995122264829934,3.8865429925542134,4.1780709016780655,3.996609652121382,3.9787610046240034,2.242980035503924
1017929,1.780571845953281,1.8626946564584639,1.455813458955513,1.2187771649973718,1.7936368385336512,3.604071524670635,5.6011489619557615,5.593683251909836,5.647809649742797,5.065484266160592,5.030022143442445,4.9311014853339294,4.871375804966524,4.869509377455042,4.906837927684671,4.951632187960225,4.7612565817891195,5.267058437400586,5.449968333525766,4.710863038979121,4.531685997876904,4.205061183367654,4.111739807793583,2.6447277837691816
1017930,6.398988266874383,5.65656421381161,4.3366992305889,3.028618756144966,4.64309645883703,8.968011180647157,9.863633847833993,9.698650724931156,10.488212813109026,8.543768864611286,10.240738128754767,11.31312842762322,12.232320112367606,12.880468095200186,12.397303235270444,10.994946690596317,10.558919865781672,9.26262390011651,10.287876163869864,11.489896059304831,12.632993410845929,10.1346775497458,9.132994303549994,8.272725162699478
1017931,0.26236851003386374,0.19330200016941165,0.13981756874998838,0.10696886283884653,0.1246566275602306,0.25815713748115326,0.5605336867657666,0.9227117262988691,0.8953378047062509,0.8287981183734251,0.7188812947476813,0.6944553339419604,0.5799060005082349,0.6704505103915106,0.6531838829253975,0.6296001966302188,0.6241254123116952,0.6342327064382003,0.6304424711407609,0.44893231411893864,0.42619090233430196,0.426612039589573,0.358387804235663,0.2745814904367242
1017932,0.39421021264824124,0.2735212398528566,0.21226703757982218,0.2419844228409973,0.16192942581089292,0.20498931057708544,0.47183930067743335,0.583431114719397,0.5937412279732741,0.6483241804937998,0.6592407709979049,0.6404399762408349,0.6070837274782914,0.6234586132344492,0.621639181483765,0.6477177032435717,0.6731897477531504,0.6944164515111326,0.6998747467631852,0.6634861117495013,0.5622044109614148,0.49306600443541554,0.4924595271851875,0.4124045301550831
