5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
8895949,"12,101,776,002,040,400,000",고속도로,경부고속도로,서울특별시 서초구,5.716,5,102,103,102,100,93,98,85,86,88,85,84,84,84,84,85,84,82,73,70,74,77,83,86,93
8895950,1210002200,연결로,경부고속도로,서울특별시 서초구,0.298,1,37,38,38,38,33,37,23,11,12,11,10,10,12,11,11,12,13,13,17,23,28,31,35,36
8895951,1210030903,일반국도,양재대로,서울특별시 서초구,0.171,4,45,46,46,46,42,44,37,34,34,36,37,31,32,32,32,31,32,25,22,31,36,37,37,41
8895952,"12,100,026,011,210,000,000",일반국도,양재대로,서울특별시 서초구,0.158,4,22,22,23,24,25,23,19,25,25,23,21,18,17,17,18,17,18,16,16,18,17,20,20,20
8896089,"121,000,030,122,000,000,000,000,000,000",도시고속도로,우면산로,서울특별시 서초구,1.668,2,72,73,74,73,68,72,65,58,50,61,62,62,62,61,60,57,46,39,33,36,53,61,63,67
8896090,"12,400,036,001,240,000,000",고속도로,수도권제1순환고속도로,서울특별시 강동구,1.826,6,98,96,95,95,73,93,47,33,43,38,33,34,43,61,62,57,55,68,82,83,84,87,90,92
8896147,"12,304,341,001,230,400,000,000,000,000,000,000,000,000,000,000,000",고속도로,수도권제1순환고속도로,서울특별시 송파구,3.874,4,100,99,97,95,92,96,82,71,62,64,54,57,75,79,75,72,62,47,47,64,79,80,85,93
8896227,"117,001,390,011,700,000,000,000,000,000",특별광역시도,안양천로,서울특별시 금천구,0.539,2,45,45,46,45,43,44,39,35,37,33,31,31,33,30,30,29,27,25,20,26,33,35,38,42
8896245,"121,001,960,112,100,000,000,000,000,000",특별광역시도,서초대로,서울특별시 서초구,0.189,7,34,37,34,35,39,37,36,31,30,31,31,30,30,32,31,30,30,29,28,29,32,32,33,32
8896246,"121,001,970,112,100,000,000,000,000,000",특별광역시도,서초대로,서울특별시 서초구,0.189,7,40,41,42,41,43,42,39,33,29,27,29,33,35,32,33,34,35,35,34,37,37,36,37,39
